time,size_blue
-6.0,8.000794742644818
-5.999,8.000573519762945
-5.998,8.001609821423905
-5.997,8.004046669194159
-5.996,8.0036720237946
-5.995,8.003297404663481
-5.994,8.005824145168294
-5.993,8.007052040734939
-5.992,8.006300881717442
-5.991,8.007168977787181
-5.99,8.00642750947868
-5.989,8.005682341872967
-5.988,8.006069481507474
-5.987,8.003008233116022
-5.986,8.000248364584001
-5.985,7.999348704537215
-5.984,7.99772817474468
-5.983,7.998230970476832
-5.982,7.996778131955998
-5.981,7.994518446033862
-5.98,7.996863484064136
-5.979,7.996502241983357
-5.978,7.996610287110858
-5.977,7.994330690012917
-5.976,7.993459677653676
-5.975,7.993637153797213
-5.974,7.991795564073336
-5.973,7.99239668090269
-5.972,7.99143565899882
-5.971,7.99096894899915
-5.97,7.990006218419583
-5.969,7.992969863514798
-5.968,7.992948267955216
-5.967,7.991255930468887
-5.966,7.992572002328252
-5.965,7.990618652488299
-5.964,7.990952834240306
-5.963,7.987817362042099
-5.962,7.985692264363861
-5.961,7.986007242341252
-5.96,7.987188788869244
-5.959,7.987462978119148
-5.958,7.987277940867327
-5.957,7.986796174954385
-5.956,7.984430539769795
-5.955,7.983278789036365
-5.954,7.98254176700283
-5.953,7.98423316256478
-5.952,7.984782951828089
-5.951,7.981962087579509
-5.95,7.98248062193054
-5.949,7.981864490281874
-5.948,7.980781415081385
-5.947,7.98176009714353
-5.946,7.983409696379524
-5.945,7.984899744570109
-5.944,7.983556996532953
-5.943,7.983062256731591
-5.942,7.983592278221837
-5.941,7.985153150425233
-5.94,7.98438647164468
-5.939,7.984089417282019
-5.938,7.982319281323608
-5.937,7.980405350725079
-5.936,7.981705392040911
-5.935,7.983875376086623
-5.934,7.983760159892094
-5.933,7.985365812528722
-5.932,7.985944430168798
-5.931,7.984912238561431
-5.93,7.985490471530244
-5.929,7.98795133003659
-5.928,7.987894008374013
-5.927,7.990397438223316
-5.926,7.986205846056772
-5.925,7.987520890063772
-5.924,7.987660165372954
-5.923,7.987181753612208
-5.922,7.9873285708546655
-5.921,7.984148460591303
-5.92,7.983796985570764
-5.919,7.9843683656851825
-5.918,7.9867329961567695
-5.917,7.985903763807531
-5.916,7.984610174042902
-5.915,7.983807362773167
-5.914,7.98527200616149
-5.913,7.985798007936945
-5.912,7.984950391610919
-5.911,7.9857716195038995
-5.91,7.985926943582857
-5.909,7.987476775567709
-5.908,7.986353490617505
-5.907,7.985829231182948
-5.906,7.985201858137938
-5.905,7.982860234220926
-5.904,7.983334026664229
-5.903,7.983751715099718
-5.902,7.983759896630345
-5.901,7.983384557216945
-5.9,7.981119964029664
-5.899,7.98044693151324
-5.898,7.9798985882867965
-5.897,7.978614944656042
-5.896,7.978356887517376
-5.895,7.979003368888279
-5.894,7.982021266330216
-5.893,7.982300590830748
-5.892,7.982712671455904
-5.891,7.982593557990679
-5.89,7.9795235240462
-5.889,7.979481101845481
-5.888,7.979577470181386
-5.887,7.983518657561364
-5.886,7.9832108800177135
-5.885,7.983693355765447
-5.884,7.983637816933919
-5.883,7.981767932073727
-5.882,7.983596448576951
-5.881,7.98479954142925
-5.88,7.986065192544519
-5.879,7.984610172616848
-5.878,7.986854643514346
-5.877,7.984611681813877
-5.876,7.985550653163958
-5.875,7.989055382165255
-5.874,7.987470524045046
-5.873,7.986564447677681
-5.872,7.986723889861821
-5.871,7.985918328815234
-5.87,7.983437267325529
-5.869,7.983546968085219
-5.868,7.981847282143256
-5.867,7.982605030032273
-5.866,7.981133951257499
-5.865,7.983613846305527
-5.864,7.98236064103779
-5.863,7.98184534261186
-5.862,7.983146970159652
-5.861,7.981177587253358
-5.86,7.9815415231487234
-5.859,7.983632951555576
-5.858,7.981060978380278
-5.857,7.981356392553931
-5.856,7.981772205024726
-5.855,7.983023121619571
-5.854,7.981044000482166
-5.853,7.9789312699012305
-5.852,7.979766376406218
-5.851,7.980241551883392
-5.85,7.980642340443945
-5.849,7.981196657579139
-5.848,7.980108618024613
-5.847,7.980480223940072
-5.846,7.98094913989735
-5.845,7.979806177628507
-5.844,7.982791416846339
-5.843,7.983549549519799
-5.842,7.981643463924273
-5.841,7.982693949698087
-5.84,7.981134459025724
-5.839,7.982393794391712
-5.838,7.984247547318124
-5.837,7.982934455608761
-5.836,7.984475857415552
-5.835,7.98513630689865
-5.834,7.9864516031546415
-5.833,7.989486471926888
-5.832,7.989093850941283
-5.831,7.987887873078312
-5.83,7.986464649990911
-5.829,7.985159353534966
-5.828,7.985035990799903
-5.827,7.98558183395961
-5.826,7.986024539238538
-5.825,7.987348032436995
-5.824,7.987368835464
-5.823,7.989694489987452
-5.822,7.9892710390542705
-5.821,7.993623309720815
-5.82,7.994624377477238
-5.819,7.993252925386972
-5.818,7.991539497390074
-5.817,7.992311453254464
-5.816,7.991953912797942
-5.815,7.99309631358849
-5.814,7.993853493787808
-5.813,7.993736967527557
-5.812,7.992382097578647
-5.811,7.98995834201915
-5.81,7.989243918095842
-5.809,7.990614156166759
-5.808,7.990956706157368
-5.807,7.98896352411143
-5.806,7.989240613592791
-5.805,7.989857121400357
-5.804,7.988442949502436
-5.803,7.988688909671948
-5.802,7.9887820436214625
-5.801,7.986953291144932
-5.8,7.987525750921489
-5.799,7.9884230061636785
-5.798,7.990155888152759
-5.797,7.991841971436015
-5.796,7.989637700447284
-5.795,7.98813718038342
-5.794,7.988961236810954
-5.793,7.989783294332414
-5.792,7.990607370630503
-5.791,7.99677174101555
-5.79,7.99768516583266
-5.789,7.999502070856948
-5.788,8.001028473678538
-5.787,8.002070699680626
-5.786,8.001566268889203
-5.785,8.002780619641992
-5.784,8.001544099298732
-5.783,8.001165189527947
-5.782,8.000388607851422
-5.781,8.00051960647444
-5.78,8.004223060181117
-5.779,8.001235435872971
-5.778,8.002333452177568
-5.777,7.999753106783666
-5.776,7.998998015798403
-5.775,8.00074033675355
-5.774,8.000843184784102
-5.773,7.999118793139416
-5.772,7.997974307204601
-5.771,7.999061663602896
-5.77,7.997893076992149
-5.769,7.99823941073548
-5.768,7.998312325679326
-5.767,7.997269765123157
-5.766,8.000700075666078
-5.765,8.001714346101785
-5.764,7.998474117963134
-5.763,7.9987724448667645
-5.762,7.997713586523136
-5.761,7.999077479858808
-5.76,7.997809446677317
-5.759,7.997625868370969
-5.758,7.998433848017338
-5.757,7.99981905632801
-5.756,7.997898582076722
-5.755,7.997363380099376
-5.754,7.996603467601518
-5.753,7.9955581408294
-5.752,7.99838286761385
-5.751,7.999030838351388
-5.75,7.997013424024452
-5.749,7.998482003139739
-5.748,8.00187745305496
-5.747,8.00352939747184
-5.746,8.001098405526314
-5.745,8.00032363100973
-5.744,8.002350688848429
-5.743,8.001218417703438
-5.742,8.001928528788472
-5.741,8.003167943273958
-5.74,8.001684854519432
-5.739,8.001589613949735
-5.738,7.996403586205624
-5.737,7.994764565979489
-5.736,7.99436045693726
-5.735,7.992364003846117
-5.734,7.994975861932407
-5.733,7.99268763572767
-5.732,7.991983564548954
-5.731,7.992192749472613
-5.73,7.994498786735119
-5.729,7.992201407293232
-5.728,7.994062469296678
-5.727,7.99407884219431
-5.726,7.992508428352633
-5.725,7.993247793911455
-5.724,7.993566289424373
-5.723,7.992605942420919
-5.722,7.992717625756902
-5.721,7.992101124001923
-5.72,7.992282751754326
-5.719,7.99334216083356
-5.718,7.995879787739392
-5.717,7.993899282941268
-5.716,7.997312136340719
-5.715,7.994188795861483
-5.714,7.993945939709427
-5.713,7.994887247239801
-5.712,7.995336834228177
-5.711,7.994340514996464
-5.71,7.994007519395893
-5.709,7.993218717900439
-5.708,7.992275734289328
-5.707,7.993635097644561
-5.706,7.994206322422105
-5.705,7.993097667069688
-5.704,7.994537026870383
-5.703,7.995028706103784
-5.702,7.9963292854939265
-5.701,7.997336691641005
-5.7,7.996010299623529
-5.699,7.995114009959215
-5.698,7.996309679727411
-5.697,7.997286272152105
-5.696,7.997252829601762
-5.695,7.997440553415056
-5.694,7.999484817248319
-5.693,7.99853830302618
-5.692,7.999413658836053
-5.691,7.999090150592158
-5.69,7.998741860666995
-5.689,8.000499903630175
-5.688,8.001820569788554
-5.687,8.003122185206156
-5.686,8.005210951297602
-5.685,8.005244557444215
